,plantid,commonname,scientificname,minhardinesszone,maxhardinesszone,growthwindowstart,growthwindowend,avgpriceperkilocad,avgproductionpersqmeter,avgco2consumptionperkilo,avgcaloriesbykilo,wateringinstructions,sunlightinstructions,waterint,sunint,growthdurationaverage
0,1,Tomato,Solanum lycopersicum,3,11,3,6,3.0,4.0,1.8,180,Medium; every 2-3 days,Full sun,2,3,100.0
1,2,Potato,Solanum tuberosum,3,9,4,6,2.5,4.0,1.5,1040,Low; once a week,Full sun,1,3,100.0
2,3,Carrot,Daucus carota,3,10,4,5,2.0,1.2,0.9,410,Medium; every other day,Full sun,2,3,100.0
3,4,Lettuce,Lactuca sativa,3,9,3,5,3.5,3.6,0.8,140,High; daily,Partial shade,3,2,60.0
4,6,Bell Pepper,Capsicum annuum,3,11,4,6,4.0,3.0,1.2,260,Medium; every 2-3 days,Full sun,2,3,75.0
5,7,Spinach,Spinacia oleracea,3,9,3,5,5.0,2.2,0.7,230,Medium; every 2-3 days,Partial shade to full sun,2,2,55.0
6,8,Zucchini,Cucurbita pepo,3,9,5,7,2.5,5.0,0.9,160,High; every day,Full sun,3,3,60.0
7,9,Strawberry,Fragaria Ã— ananassa,3,10,4,6,6.0,1.5,1.1,320,High; every day,Full sun,3,3,105.0
8,14,Garlic,Allium sativum,3,8,9,5,6.0,3.0,0.5,1490,Low; infrequent once established,Full sun,1,3,180.0
9,15,Radish,Raphanus sativus,3,10,3,9,1.75,4.0,0.4,160,Medium; keep soil evenly moist,Full sun to partial shade,2,2,25.0
10,16,Green Beans,Phaseolus vulgaris,3,10,5,7,2.25,3.0,0.5,310,Medium; water deeply at least once a week,Full sun,2,3,55.0
11,17,Kale,Brassica oleracea var. sabellica,3,9,3,6,3.0,1.8,0.6,500,Medium; every 2-3 days,Full sun to partial shade,2,2,60.0
12,19,Bush Beans,Phaseolus vulgaris,3,10,5,7,2.25,2.5,0.5,3330,Medium; maintain consistent moisture,Full sun,2,3,55.0
13,20,Arugula,Eruca vesicaria,3,11,3,9,4.0,1.5,0.4,250,Medium; keep soil consistently moist,Full sun to partial shade,2,3,35.0
14,21,Bok Choy,Brassica rapa subsp. chinensis,2,11,3,6,2.0,2.0,0.5,130,High; keep soil moist,Full sun to partial shade,3,2,60.0
15,22,Mustard Greens,Brassica juncea,2,9,3,5,3.0,1.6,0.4,260,Medium; ensure even moisture,Full sun to partial shade,2,2,40.0
16,23,Scallions,Allium fistulosum,2,9,3,8,2.5,3.6,0.3,320,Low to medium; water when the top inch of soil is dry,Full sun to partial shade,1,2,60.0
17,24,Swiss Chard,Beta vulgaris subsp. vulgaris,2,9,3,8,3.5,2.2,0.5,190,Medium; consistent moisture is key,Full sun to partial shade,2,2,60.0
18,25,Onion,Allium cepa,3,9,3,5,2.0,4.0,1.2,420,Low; once a week,Full sun,1,3,100.0
19,26,Beet,Beta vulgaris,2,10,4,7,3.5,4.0,1.4,430,Medium; every 3-4 days,Full sun to partial shade,2,2,65.0
20,29,Mint,Mentha,3,11,4,6,15.0,1.8,1.1,700,High; every day,Full sun to partial shade,3,2,65.0
21,30,Cilantro,Coriandrum sativum,2,11,4,6,20.0,7.0,1.3,230,Medium; every 2 days,Full sun to partial shade,2,2,28.0
